shot_id,start_frame,end_frame,start_time,end_time,duration_s,court_ratio,meandiff_mean,court_hue
0,0,406,0.0,16.24,16.24,0.551241,9.183805,29
2,445,781,17.8,31.24,13.44,0.729741,1.303992,26
5,850,1152,34.0,46.08,12.08,0.643923,1.856116,32
9,1272,1521,50.88,60.84,9.96,0.731146,1.637806,27
13,1638,1804,65.52,72.16,6.64,0.726394,1.732203,27
16,1860,2065,74.4,82.6,8.2,0.696662,1.889891,29
21,2277,2690,91.08,107.6,16.52,0.566971,1.896958,36
25,2867,3123,114.68,124.92,10.24,0.5729,1.151744,36
28,3220,3545,128.8,141.8,13.0,0.597591,1.228966,34
31,3633,4280,145.32,171.2,25.88,0.589201,1.363471,35
34,4442,4577,177.68,183.08,5.4,0.65855,1.302112,31
36,4629,4766,185.16,190.64,5.48,0.748049,1.451833,26
40,4956,5406,198.24,216.24,18.0,0.739154,2.993053,27
48,5829,6041,233.16,241.64,8.48,0.704042,1.307766,30
52,6235,6449,249.4,257.96,8.56,0.724379,1.540129,29
55,6570,6780,262.8,271.2,8.4,0.733032,1.149089,28
57,6832,6995,273.28,279.8,6.52,0.600624,1.13087,36
61,7201,7875,288.04,315.0,26.96,0.756717,1.815896,27
65,8057,8215,322.28,328.6,6.32,0.644598,2.207471,31
69,8360,8730,334.4,349.2,14.8,0.716021,2.054127,28
73,8824,9076,352.96,363.04,10.08,0.703728,1.370847,29
76,9219,9397,368.76,375.88,7.12,0.714277,2.483118,29
78,9531,9895,381.24,395.8,14.56,0.694043,3.393427,25
82,10020,10208,400.8,408.32,7.52,0.640983,2.322197,27
84,10312,10642,412.48,425.68,13.2,0.613285,3.930901,28
90,11082,11510,443.28,460.4,17.12,0.552737,1.061321,28
92,11613,11943,464.52,477.72,13.2,0.667635,1.027885,30
94,12016,12268,480.64,490.72,10.08,0.627062,2.182703,36
101,12792,13148,511.68,525.92,14.24,0.609184,1.124679,37
103,13207,13465,528.28,538.6,10.32,0.620742,0.927925,35
106,13743,14100,549.72,564.0,14.28,0.682466,0.974729,33
112,14368,14647,574.72,585.88,11.16,0.649775,1.59244,34
116,14809,14924,592.36,596.96,4.6,0.668174,2.936833,33
119,15038,15248,601.52,609.92,8.4,0.666009,1.116938,33
