shot_id,start_frame,end_frame,start_time,end_time,duration_s,court_ratio,meandiff_mean,court_hue
0,0,406,0.0,16.24,16.24,0.551241,9.183805,29
1,412,444,16.48,17.76,1.28,0.095446,22.331348,12
2,445,781,17.8,31.24,13.44,0.729741,1.303992,26
3,782,830,31.28,33.2,1.92,0.365135,38.230227,26
4,836,849,33.44,33.96,0.52,0.18225,6.149873,30
5,850,1152,34.0,46.08,12.08,0.643923,1.856116,32
6,1153,1201,46.12,48.04,1.92,0.140446,88.490955,29
7,1202,1234,48.08,49.36,1.28,0.300831,10.412139,12
8,1240,1271,49.6,50.84,1.24,0.207161,3.933093,24
9,1272,1521,50.88,60.84,9.96,0.731146,1.637806,27
10,1522,1542,60.88,61.68,0.8,0.207684,15.653679,8
11,1543,1601,61.72,64.04,2.32,0.549153,38.154438,27
12,1607,1637,64.28,65.48,1.2,0.047391,11.074277,17
13,1638,1804,65.52,72.16,6.64,0.726394,1.732203,27
14,1805,1832,72.2,73.28,1.08,0.138421,64.19318,27
15,1838,1859,73.52,74.36,0.84,0.14583,29.781206,8
16,1860,2065,74.4,82.6,8.2,0.696662,1.889891,29
17,2066,2125,82.64,85.0,2.36,0.047756,16.033566,8
18,2126,2168,85.04,86.72,1.68,0.2997,41.15741,6
19,2169,2209,86.76,88.36,1.6,0.519259,20.122602,6
20,2210,2271,88.4,90.84,2.44,0.069813,37.073196,10
21,2277,2690,91.08,107.6,16.52,0.566971,1.896958,36
22,2691,2734,107.64,109.36,1.72,0.126303,68.891865,36
23,2735,2827,109.4,113.08,3.68,0.121106,60.480557,113
24,2833,2866,113.32,114.64,1.32,0.682874,10.04173,86
25,2867,3123,114.68,124.92,10.24,0.5729,1.151744,36
26,3124,3179,124.96,127.16,2.2,0.137701,83.105597,35
27,3185,3219,127.4,128.76,1.36,0.084699,4.402758,93
28,3220,3545,128.8,141.8,13.0,0.597591,1.228966,34
29,3546,3603,141.84,144.12,2.28,0.18219,87.121229,33
30,3604,3627,144.16,145.08,0.92,0.173873,26.67994,33
31,3633,4280,145.32,171.2,25.88,0.589201,1.363471,35
32,4281,4323,171.24,172.92,1.68,0.193536,22.388827,34
